Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
HONDA,Used,Petrol,80000.0,City IVTEC,1080000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,70000.0,Corolla GLI,1250000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,138000.0,Alto,430000.0,Sukkar,Cash,2010.0
DAIHATSU,Used,Petrol,186000.0,Cuore,585000.0,Karachi,Cash,2010.0
DAIHATSU,Used,Petrol,75000.0,Hijet,690000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,82000.0,Cultus VXR,690000.0,Lahore,Cash,2010.0
TOYOTA,Used,Petrol,40000.0,Vitz,1250000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,74000.0,Estima,3350000.0,Karachi,Cash,2010.0
HONDA,Used,Petrol,106988.0,Civic VTi,1100000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,45000.0,Corolla XLI,1285000.0,Karachi,Cash,2010.0
HONDA,Used,Petrol,65000.0,Civic VTi Oriel Prosmatec,1370000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,80000.0,Mehran VX,470000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,94000.0,Alto,535000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,75000.0,Corolla GLI,1190000.0,Karachi,Cash,2010.0
OTHER BRANDS,Used,Petrol,124000.0,Other,850000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,89000.0,Passo,1040000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,80000.0,Corolla XLI,1250000.0,Karachi,Cash,2010.0
TOYOTA,New,Petrol,118000.0,Corolla GLI,1390000.0,Faisalabad,Cash,2010.0
SUZUKI,Used,Petrol,85000.0,Alto,980000.0,Islamabad,Cash,2010.0
SUZUKI,Used,Petrol,75000.0,Mehran VX,450000.0,Lahore,Cash,2010.0
SUZUKI,Used,Cng,111000.0,Cultus VXR,680000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,170000.0,Corolla GLI,1100000.0,Karachi,Cash,2010.0
HONDA,Used,Petrol,90000.0,Civic Prosmetic,1250000.0,Lahore,Cash,2010.0
HONDA,Used,Petrol,130000.0,Civic VTi Oriel Prosmatec,1350000.0,Islamabad,Cash,2010.0
TOYOTA,Used,Petrol,500000.0,Vitz,1200000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,62000.0,Alto,615000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,105000.0,Vitz,1095000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,62000.0,Alto,615000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,96000.0,Passo,1000000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,82000.0,Vitz,1150000.0,Lahore,Cash,2010.0
SUZUKI,Used,Cng,95000.0,Bolan,620000.0,Islamabad,Cash,2010.0
TOYOTA,Used,Petrol,69000.0,Vitz,1030000.0,Lahore,Cash,2010.0
HONDA,Used,Petrol,139521.0,Civic VTi Oriel,1190000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,1.0,Alto,950000.0,Karachi,Cash,2010.0
TOYOTA,Used,Diesel,134000.0,Corolla 2.0 D,1080000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,543210.0,Cultus VXL,200000.0,Karachi,Installment/Leasing,2010.0
SUZUKI,Used,Petrol,750000.0,Bolan,590000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,76000.0,Mehran VX,450000.0,Rahimyar Khan,Cash,2010.0
TOYOTA,Used,Petrol,70000.0,Vitz,1125000.0,Karachi,Cash,2010.0
SUZUKI,New,Petrol,1.0,Alto,540000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,86000.0,Alto,580000.0,Karachi,Cash,2010.0
SUZUKI,New,Petrol,90000.0,Every,790000.0,Karachi,Cash,2010.0
NISSAN,New,Petrol,10.0,Clipper,200000.0,Karachi,Installment/Leasing,2010.0
TOYOTA,Used,Petrol,26500.0,Corolla GLI,1350000.0,Karachi,Cash,2010.0
SUZUKI,New,Petrol,75000.0,Alto,535000.0,Karachi,Cash,2010.0
DAIHATSU,Used,Petrol,116000.0,Hijet,750000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,58000.0,Cultus VXL,770000.0,Karachi,Cash,2010.0
HONDA,Used,Petrol,67000.0,Civic VTi,1250000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,112000.0,Alto,580000.0,Karachi,Cash,2010.0
TOYOTA,Used,Hybrid,120000.0,Prius,2000000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,100000.0,Mehran VXR,400000.0,Karachi,Cash,2010.0
TOYOTA,Used,Cng,110000.0,Corolla XLI,1130000.0,Karachi,Cash,2010.0
NISSAN,New,Petrol,138900.0,Clipper,645000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,45000.0,Cultus VXR,715000.0,Karachi,Cash,2010.0
HONDA,Used,Petrol,30000.0,Civic VTi Oriel,300000.0,Karachi,Installment/Leasing,2010.0
HONDA,New,Petrol,139000.0,Acty,645000.0,Karachi,Cash,2010.0
TOYOTA,Used,Petrol,60000.0,Passo,1090000.0,Karachi,Cash,2010.0
SUZUKI,New,Cng,82000.0,Alto,540000.0,Karachi,Cash,2010.0
TOYOTA,Used,Hybrid,140000.0,Prius,1770000.0,Islamabad,Cash,2010.0
SUZUKI,Used,Petrol,74000.0,Every,670000.0,Lahore,Cash,2010.0
TOYOTA,Used,Petrol,136000.0,Corolla GLI,1335000.0,Islamabad,Cash,2010.0
TOYOTA,Used,Petrol,116000.0,Corolla GLI,1275000.0,Karachi,Cash,2010.0
NISSAN,Used,Petrol,56500.0,Clipper,720000.0,Lahore,Cash,2010.0
DAIHATSU,Used,Cng,127000.0,Cuore,545000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,60000.0,Bolan,560000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,40000.0,Mehran VXR,450000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,85000.0,Bolan,490000.0,Karachi,Cash,2010.0
SUZUKI,Used,Petrol,43000.0,Mehran VX,360000.0,Karachi,Cash,2010.0
NISSAN,Used,Petrol,180000.0,Clipper,630000.0,Karachi,Cash,2010.0
SUZUKI,Used,Cng,1.0,Cultus VXR,700000.0,Karachi,Cash,2010.0
TOYOTA,Used,Cng,125000.0,Corolla XLI,1120000.0,Karachi,Cash,2010.0
